"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2011","114.30","111.54","117.02","106.30","5.04M","-0.30%"
"10/01/2011","114.64","102.82","118.30","98.24","8.39M","10.74%"
"09/01/2011","103.52","111.74","112.80","102.38","4.57M","-7.31%"
"08/01/2011","111.68","119.78","119.82","100.92","9.42M","-5.52%"
"07/01/2011","118.20","120.74","124.10","117.44","2.98M","-2.06%"
"06/01/2011","120.68","123.04","123.04","115.54","2.55M","-2.16%"
"05/01/2011","123.34","125.44","125.44","120.16","2.47M","-1.17%"
"04/01/2011","124.80","122.12","124.88","118.44","2.31M","2.94%"
"03/01/2011","121.24","122.28","122.30","114.64","3.88M","-0.44%"
"02/01/2011","121.78","118.48","123.22","118.38","2.76M","3.47%"
"01/01/2011","117.70","115.94","119.22","115.48","4.40M","2.22%"
"12/01/2010","115.14","109.92","115.60","109.88","1.67M","6.43%"
"11/01/2010","108.18","108.92","112.30","107.47","1.07M","-0.11%"
"10/01/2010","108.30","105.08","109.28","103.50","951.12K","3.78%"
